page_num,list_page_url,title,url,published_date,category_raw,published_dt
6,https://beritamalang.media/category/berita/page/6/,Wilson Lalengke: Take Down Berita adalah Kejahatan Jurnalistik,https://beritamalang.media/wilson-lalengke-take-down-berita-adalah-kejahatan-jurnalistik/,"March 23, 2026","Berita,,,Nasional",2026-03-23
6,https://beritamalang.media/category/berita/page/6/,Kesiapsiagaan Personel Polres Batu Berhasil Cegah Kemacetan,https://beritamalang.media/kesiapsiagaan-personel-polres-batu-berhasil-cegah-kemacetan/,"March 23, 2026",Berita,2026-03-23
6,https://beritamalang.media/category/berita/page/6/,Kapolres dan Walikota Batu Ajak Masyarakat Jaga Kamtibmas di Idul Fitri,https://beritamalang.media/kapolres-dan-walikota-batu-ajak-masyarakat-jaga-kamtibmas-di-idul-fitri/,"March 21, 2026",Berita,2026-03-21
6,https://beritamalang.media/category/berita/page/6/,Lippo Plaza Batu Jadi Tujuan Belanja Favorit Saat Ramadhan dan Hari Raya Idul Fitri 1 Syawal 1447 H,https://beritamalang.media/lippo-plaza-batu-jadi-tujuan-belanja-favorit-saat-ramadhan-dan-hari-raya-idul-fitri-1-syawal-1447-h/,"March 20, 2026","Berita,,,Bisnis,,,Kuliner,,,Ragam",2026-03-20
7,https://beritamalang.media/category/berita/page/7/,"Satlantas Polres Batu Siapkan Mobil Sahabat Pemudik, Bantu Keselamatan dan Kenyamanan Selama Perjalanan",https://beritamalang.media/satlantas-polres-batu-siapkan-mobil-sahabat-pemudik-bantu-keselamatan-dan-kenyamanan-selama-perjalanan/,"March 19, 2026",Berita,2026-03-19
7,https://beritamalang.media/category/berita/page/7/,"Tips Mudik Sehat, Aman, dan Nyaman dari Dinkes Kota Batu",https://beritamalang.media/tips-mudik-sehat-aman-dan-nyaman-dari-dinkes-kota-batu/,"March 15, 2026","Berita,,,Ragam",2026-03-15
7,https://beritamalang.media/category/berita/page/7/,"SEKBER LIPAN-RI Bagikan Ratusan Takjil Gratis di Kota Batu, Aries Pratomo: Berbagi Kebahagiaan di Bulan Ramadhan",https://beritamalang.media/sekber-lipan-ri-bagikan-ratusan-takjil-gratis-di-kota-batu-aries-pratomo-berbagi-kebahagiaan-di-bulan-ramadhan/,"March 15, 2026","Berita,,,Ragam",2026-03-15
7,https://beritamalang.media/category/berita/page/7/,Dinkes Kota Batu Sosialisasi Strategi Optimalisasi Kepersertaan Aktif JKN,https://beritamalang.media/dinkes-kota-batu-sosialisasi-strategi-optimaisasi-kepersertaan-aktif-jkn/,"March 13, 2026",Berita,2026-03-13
7,https://beritamalang.media/category/berita/page/7/,Satreskrim Polres Batu Ringkus Pelaku Penganiayaan di Bumiaji dalam Waktu Kurang dari Dua Jam,https://beritamalang.media/satreskrim-polres-batu-ringkus-pelaku-penganiayaan-di-bumiaji-dalam-waktu-kurang-dari-dua-jam/,"March 13, 2026","Berita,,,Kriminal",2026-03-13
7,https://beritamalang.media/category/berita/page/7/,Gratis! Uji Coba Mikutopia untuk Semua Warga Indonesia,https://beritamalang.media/gratis-uji-coba-mikutopia-untuk-semua-warga-indonesia/,"March 13, 2026","Berita,,,Kuliner,,,Wisata",2026-03-13
7,https://beritamalang.media/category/berita/page/7/,Kapolres Batu Pimpin Gelar Apel Pasukan “Ketupat 2026” untuk Pelayanan Perayaan Idul Fitri 1447 H,https://beritamalang.media/kapolres-batu-pimpin-gelar-apel-pasukan-ketupat-2026-untuk-pelayanan-perayaan-idul-fitri-1447-h/,"March 12, 2026",Berita,2026-03-12
7,https://beritamalang.media/category/berita/page/7/,Waroeng Bamboe Sidomulyo Hadirkan Promo Spesial Ramadan & Idul Fitri,https://beritamalang.media/waroeng-bamboe-sidomulyo-hadirkan-promo-spesial-ramadan-idul-fitri/,"March 11, 2026","Berita,,,Kuliner,,,Ragam,,,Wisata",2026-03-11
7,https://beritamalang.media/category/berita/page/7/,Jatim Park Group Rayakan 25 Tahun Berkarya Untuk Bangsa,https://beritamalang.media/jatim-park-group-rayakan-25-tahun-berkarya-untuk-bangsa/,"March 10, 2026","Berita,,,Kuliner,,,Wisata",2026-03-10
7,https://beritamalang.media/category/berita/page/7/,Kurang dari 24 Jam Pelaku Pencuri Mobil Avanza Berhasil Diringkus Tim Resmob Satreskrim Polres Batu,https://beritamalang.media/kurang-dari-24-jam-pelaku-pencuri-mobil-avanza-berhasil-diringkus-tim-resmob-satreskrim-polres-batu/,"March 2, 2026","Berita,,,Kriminal",2026-03-02
